"","reads.in","reads.out"
"YR_1_1-R1.fq.gz.trimmed.fastq",107069,100809
"YR_1_10-R1.fq.gz.trimmed.fastq",151862,143125
"YR_1_11-R1.fq.gz.trimmed.fastq",147315,138904
"YR_1_12-R1.fq.gz.trimmed.fastq",88398,83137
"YR_1_13-R1.fq.gz.trimmed.fastq",87155,82139
"YR_1_14-R1.fq.gz.trimmed.fastq",159977,149815
"YR_1_15-R1.fq.gz.trimmed.fastq",180465,166724
"YR_1_16-R1.fq.gz.trimmed.fastq",168140,157103
"YR_1_17-R1.fq.gz.trimmed.fastq",166543,156050
"YR_1_2-R1.fq.gz.trimmed.fastq",95524,90215
"YR_1_3-R1.fq.gz.trimmed.fastq",99401,93795
"YR_1_4-R1.fq.gz.trimmed.fastq",113850,106985
"YR_1_5-R1.fq.gz.trimmed.fastq",155622,146767
"YR_1_6-R1.fq.gz.trimmed.fastq",207964,195376
"YR_1_7-R1.fq.gz.trimmed.fastq",97051,91814
"YR_1_8-R1.fq.gz.trimmed.fastq",147078,138916
"YR_1_9-R1.fq.gz.trimmed.fastq",151318,142347
"YR_2_1-R1.fq.gz.trimmed.fastq",228171,213811
"YR_2_10-R1.fq.gz.trimmed.fastq",227280,212398
"YR_2_11-R1.fq.gz.trimmed.fastq",238081,222265
"YR_2_12-R1.fq.gz.trimmed.fastq",109039,102798
"YR_2_13-R1.fq.gz.trimmed.fastq",255396,239742
"YR_2_14-R1.fq.gz.trimmed.fastq",1,0
"YR_2_15-R1.fq.gz.trimmed.fastq",13,0
"YR_2_16-R1.fq.gz.trimmed.fastq",129,24
"YR_2_2-R1.fq.gz.trimmed.fastq",235788,220166
"YR_2_3-R1.fq.gz.trimmed.fastq",249521,234481
"YR_2_4-R1.fq.gz.trimmed.fastq",109694,102915
"YR_2_5-R1.fq.gz.trimmed.fastq",126183,117364
"YR_2_6-R1.fq.gz.trimmed.fastq",107762,100949
"YR_2_7-R1.fq.gz.trimmed.fastq",78941,73885
"YR_2_8-R1.fq.gz.trimmed.fastq",144316,135264
"YR_2_9-R1.fq.gz.trimmed.fastq",243615,228066
"YR_3_1-R1.fq.gz.trimmed.fastq",321041,294178
"YR_3_10-R1.fq.gz.trimmed.fastq",315135,289327
"YR_3_11-R1.fq.gz.trimmed.fastq",295939,274497
"YR_3_12-R1.fq.gz.trimmed.fastq",335481,308194
"YR_3_13-R1.fq.gz.trimmed.fastq",338463,308556
"YR_3_14-R1.fq.gz.trimmed.fastq",345152,316674
"YR_3_15-R1.fq.gz.trimmed.fastq",331365,303559
"YR_3_16-R1.fq.gz.trimmed.fastq",326137,297164
"YR_3_2-R1.fq.gz.trimmed.fastq",279949,256450
"YR_3_3-R1.fq.gz.trimmed.fastq",347663,313156
"YR_3_4-R1.fq.gz.trimmed.fastq",143369,131585
"YR_3_5-R1.fq.gz.trimmed.fastq",259549,236578
"YR_3_6-R1.fq.gz.trimmed.fastq",113698,104106
"YR_3_7-R1.fq.gz.trimmed.fastq",238539,219082
"YR_3_8-R1.fq.gz.trimmed.fastq",178531,163597
"YR_3_9-R1.fq.gz.trimmed.fastq",291042,267406
