"","Raw","LowPrevalence","Kingdom","Mitochondria","Retained","percentage"
"YR_1_1",80393,4213,33,401,75799,94.29
"YR_1_2",72157,2381,0,352,69449,96.25
"YR_1_3",70307,2572,10,401,67326,95.76
"YR_3_2",163350,13578,38,1829,148036,90.63
"YR_3_3",185234,34817,77,1938,148940,80.41
"YR_3_4",95169,3990,25,703,90511,95.11
"YR_1_4",93519,5746,34,122,87640,93.71
"YR_1_5",118275,8720,14,624,108949,92.11
"YR_1_6",162830,7764,18,676,154469,94.87
"YR_2_6",80074,3102,14,237,76767,95.87
"YR_2_7",53156,2294,12,309,50632,95.25
"YR_2_8",109224,5111,15,241,103941,95.16
"YR_1_17",87913,4970,20,1359,81690,92.92
"YR_2_1",123269,9833,50,1104,112301,91.1
"YR_2_2",123805,20862,37,1329,101679,82.13
"YR_2_3",177219,15071,39,1903,160253,90.43
"YR_2_4",66619,4536,24,742,61321,92.05
"YR_2_5",93527,7178,12,140,86182,92.15
"YR_3_8",125118,6193,0,647,118288,94.54
"YR_3_9",200033,9978,42,1096,188955,94.46
"YR_3_10",174082,10627,71,2235,161360,92.69
"YR_3_11",165969,10266,68,2308,153406,92.43
"YR_1_10",117482,7563,31,438,109437,93.15
"YR_1_11",118707,7383,28,203,111137,93.62
"YR_1_12",70086,2568,9,131,67375,96.13
"YR_1_13",65155,3764,8,241,61172,93.89
"YR_3_12",239731,38014,764,30,201235,83.94
"YR_3_13",216849,27402,602,0,188937,87.13
"YR_3_14",162090,23158,419,28,138573,85.49
"YR_3_15",181829,22051,528,0,159391,87.66
"YR_3_16",140552,22718,451,28,117458,83.57
